,Broader,N,PUBMEDID,AUTHOR,STAGE,DATE,STUDY ACCESSION,parentterm,color
1,African Am./Caribbean,5.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other measurement,#fee08b
2,Other/Mixed,18.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other measurement,#99d594
3,Asian,73.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other measurement,#d53e4f
4,European,504.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other measurement,#3288bd
6,African Am./Caribbean,5.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Response to drug,#fee08b
7,Other/Mixed,18.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Response to drug,#99d594
8,Asian,73.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Response to drug,#d53e4f
9,European,504.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Response to drug,#3288bd
11,African Am./Caribbean,5.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other disease,#fee08b
12,Other/Mixed,18.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other disease,#99d594
13,Asian,73.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other disease,#d53e4f
14,European,504.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008269,Other disease,#3288bd
16,African Am./Caribbean,5.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other measurement,#fee08b
17,Other/Mixed,18.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other measurement,#99d594
18,Asian,73.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other measurement,#d53e4f
19,European,504.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other measurement,#3288bd
21,African Am./Caribbean,5.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Response to drug,#fee08b
22,Other/Mixed,18.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Response to drug,#99d594
23,Asian,73.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Response to drug,#d53e4f
24,European,504.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Response to drug,#3288bd
26,African Am./Caribbean,5.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other disease,#fee08b
27,Other/Mixed,18.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other disease,#99d594
28,Asian,73.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other disease,#d53e4f
29,European,504.0,31295674.0,Condreay LD,initial,2019-07-05,GCST008268,Other disease,#3288bd
30,,1209.0,31299468.0,Condreay LD,initial,2019-06-29,GCST008292,Other disease,black
31,,1209.0,31299468.0,Condreay LD,initial,2019-06-29,GCST008292,Response to drug,black
32,European,1869.0,31299468.0,Condreay LD,initial,2019-06-29,GCST008293,Other measurement,#3288bd
34,Asian,33.0,31299468.0,Condreay LD,initial,2019-06-29,GCST008293,Other measurement,#d53e4f
